Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Thailand,2020-01-09,0.0
Thailand,2020-01-10,0.0
Thailand,2020-01-11,0.0
Thailand,2020-01-12,0.0
Thailand,2020-01-13,0.0019914478
Thailand,2020-01-14,0.009957239
Thailand,2020-01-15,0.009957239
Thailand,2020-01-16,0.009957239
Thailand,2020-01-17,0.011616779
Thailand,2020-01-18,0.020910202
Thailand,2020-01-19,0.020910202
Thailand,2020-01-20,0.018586846
Thailand,2020-01-21,0.009293423
Thailand,2020-01-22,0.011616779
Thailand,2020-01-24,0.020910202
Thailand,2020-01-25,0.011616779
Thailand,2020-01-30,0.039497048
Thailand,2020-01-31,0.041820403
Thailand,2020-02-02,0.051113825
Thailand,2020-02-03,0.034850337
Thailand,2020-02-04,0.04414376
Thailand,2020-02-08,0.039497048
Thailand,2020-02-12,0.034850337
Thailand,2020-02-13,0.025556913
Thailand,2020-02-14,0.025556913
Thailand,2020-02-16,0.027880268
Thailand,2020-02-22,0.018586846
Thailand,2020-02-23,0.009293423
Thailand,2020-02-24,0.007965791
Thailand,2020-02-25,0.0
Thailand,2020-02-26,0.006970067
Thailand,2020-02-27,0.01626349
Thailand,2020-03-06,0.023233557
Thailand,2020-03-07,0.025556913
Thailand,2020-03-08,0.025556913
Thailand,2020-03-09,0.021905925
Thailand,2020-03-10,0.01626349
Thailand,2020-03-11,0.030203624
Thailand,2020-03-12,0.055760536
Thailand,2020-03-13,0.06505396
Thailand,2020-03-14,0.076670736
Thailand,2020-03-15,0.1417247
Thailand,2020-03-16,0.21839544
Thailand,2020-03-17,0.24693953
Thailand,2020-03-18,0.3046915
Thailand,2020-03-19,0.40227246
Thailand,2020-03-20,0.4918876
Thailand,2020-03-21,0.6551863
Thailand,2020-03-22,0.96585214
Thailand,2020-03-23,1.143091
Thailand,2020-03-24,1.2944411
Thailand,2020-03-25,1.4378253
Thailand,2020-03-26,1.5393891
Thailand,2020-03-27,1.6210384
Thailand,2020-03-28,1.6608675
Thailand,2020-03-29,1.5712523
Thailand,2020-03-30,1.5991325
Thailand,2020-03-31,1.640953
Thailand,2020-04-01,1.6668417
Thailand,2020-04-02,1.6529016
Thailand,2020-04-03,1.676799
Thailand,2020-04-04,1.63697
Thailand,2020-04-05,1.5553207
Thailand,2020-04-06,1.3860476
Thailand,2020-04-07,1.2088088
Thailand,2020-04-08,1.1908858
Thailand,2020-04-09,1.0913134
Thailand,2020-04-10,0.98576665
Thailand,2020-04-11,0.89814293
Thailand,2020-04-12,0.76073307
Thailand,2020-04-13,0.71492976
Thailand,2020-04-14,0.70696396
Thailand,2020-04-15,0.5456567
Thailand,2020-04-16,0.4958705
Thailand,2020-04-17,0.45205864
Thailand,2020-04-18,0.42816126
Thailand,2020-04-19,0.4261698
Thailand,2020-04-20,0.42417836
Thailand,2020-04-21,0.39430666
Thailand,2020-04-22,0.36443493
Thailand,2020-04-23,0.33257177
Thailand,2020-04-24,0.30668294
Thailand,2020-04-25,0.3465119
Thailand,2020-04-26,0.3126573
Thailand,2020-04-27,0.27681124
Thailand,2020-04-28,0.25291386
Thailand,2020-04-29,0.24096517
Thailand,2020-04-30,0.2290165
Thailand,2020-05-01,0.21109347
Thailand,2020-05-02,0.11749542
Thailand,2020-05-03,0.093598045
Thailand,2020-05-04,0.11152107
Thailand,2020-05-05,0.09957239
Thailand,2020-05-06,0.08364081
Thailand,2020-05-07,0.07567502
Thailand,2020-05-08,0.07965791
Thailand,2020-05-09,0.07567502
Thailand,2020-05-10,0.07965791
Thailand,2020-05-11,0.055760536
Thailand,2020-05-12,0.057751983
Thailand,2020-05-13,0.055760536
Thailand,2020-05-14,0.051777642
Thailand,2020-05-15,0.049786195
Thailand,2020-05-16,0.041820403
Thailand,2020-05-17,0.03783751
Thailand,2020-05-18,0.031863164
Thailand,2020-05-19,0.031863164
Thailand,2020-05-20,0.03385461
Thailand,2020-05-21,0.03783751
Thailand,2020-05-22,0.023897374
Thailand,2020-05-23,0.029871717
Thailand,2020-05-24,0.023897374
Thailand,2020-05-25,0.021905925
Thailand,2020-05-26,0.023897374
Thailand,2020-05-27,0.039828956
Thailand,2020-05-28,0.055760536
Thailand,2020-05-29,0.07766646
Thailand,2020-05-30,0.07368357
Thailand,2020-05-31,0.081649356
Thailand,2020-06-01,0.07965791
Thailand,2020-06-02,0.07567502
Thailand,2020-06-03,0.059743434
Thailand,2020-06-04,0.07169212
Thailand,2020-06-05,0.051777642
Thailand,2020-06-06,0.05376909
Thailand,2020-06-07,0.06173488
Thailand,2020-06-08,0.07368357
Thailand,2020-06-09,0.07567502
Thailand,2020-06-10,0.081649356
Thailand,2020-06-11,0.047794748
Thailand,2020-06-12,0.05376909
Thailand,2020-06-13,0.059743434
Thailand,2020-06-14,0.045803297
Thailand,2020-06-15,0.031863164
Thailand,2020-06-16,0.027880268
Thailand,2020-06-17,0.019914478
Thailand,2020-06-18,0.031863164
Thailand,2020-06-19,0.03385461
Thailand,2020-06-20,0.025888821
Thailand,2020-06-21,0.025888821
