Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Uruguay,2020-01-09,0.0
Uruguay,2020-01-10,0.0
Uruguay,2020-01-11,0.0
Uruguay,2020-01-12,0.0
Uruguay,2020-01-13,0.0
Uruguay,2020-01-14,0.0
Uruguay,2020-01-15,0.0
Uruguay,2020-01-16,0.0
Uruguay,2020-01-17,0.0
Uruguay,2020-01-18,0.0
Uruguay,2020-01-19,0.0
Uruguay,2020-01-20,0.0
Uruguay,2020-01-21,0.0
Uruguay,2020-01-22,0.0
Uruguay,2020-01-23,0.0
Uruguay,2020-01-24,0.0
Uruguay,2020-01-25,0.0
Uruguay,2020-01-26,0.0
Uruguay,2020-01-27,0.0
Uruguay,2020-01-28,0.0
Uruguay,2020-01-29,0.0
Uruguay,2020-01-30,0.0
Uruguay,2020-01-31,0.0
Uruguay,2020-02-01,0.0
Uruguay,2020-02-02,0.0
Uruguay,2020-02-03,0.0
Uruguay,2020-02-04,0.0
Uruguay,2020-02-05,0.0
Uruguay,2020-02-06,0.0
Uruguay,2020-02-07,0.0
Uruguay,2020-02-08,0.0
Uruguay,2020-02-09,0.0
Uruguay,2020-02-10,0.0
Uruguay,2020-02-11,0.0
Uruguay,2020-02-12,0.0
Uruguay,2020-02-13,0.0
Uruguay,2020-02-14,0.0
Uruguay,2020-02-15,0.0
Uruguay,2020-02-16,0.0
Uruguay,2020-02-17,0.0
Uruguay,2020-02-18,0.0
Uruguay,2020-02-19,0.0
Uruguay,2020-02-20,0.0
Uruguay,2020-02-21,0.0
Uruguay,2020-02-22,0.0
Uruguay,2020-02-23,0.0
Uruguay,2020-02-24,0.0
Uruguay,2020-02-25,0.0
Uruguay,2020-02-26,0.0
Uruguay,2020-02-27,0.0
Uruguay,2020-02-28,0.0
Uruguay,2020-02-29,0.0
Uruguay,2020-03-01,0.0
Uruguay,2020-03-02,0.0
Uruguay,2020-03-03,0.0
Uruguay,2020-03-04,0.0
Uruguay,2020-03-05,0.0
Uruguay,2020-03-06,0.0
Uruguay,2020-03-07,0.0
Uruguay,2020-03-08,0.0
Uruguay,2020-03-09,0.0
Uruguay,2020-03-10,0.0
Uruguay,2020-03-11,0.0
Uruguay,2020-03-12,0.0
Uruguay,2020-03-13,0.0
Uruguay,2020-03-14,0.0
Uruguay,2020-03-15,0.16851762
Uruguay,2020-03-16,0.16851762
Uruguay,2020-03-17,0.16851762
Uruguay,2020-03-18,1.2217528
Uruguay,2020-03-19,1.2217528
Uruguay,2020-03-20,3.328223
Uruguay,2020-03-21,3.960164
Uruguay,2020-03-22,3.7916462
Uruguay,2020-03-23,5.518952
Uruguay,2020-03-24,6.4879284
Uruguay,2020-03-25,5.603211
Uruguay,2020-03-26,6.7407045
Uruguay,2020-03-27,5.8138576
Uruguay,2020-03-28,6.066634
Uruguay,2020-03-29,7.5832925
Uruguay,2020-03-30,7.0777397
Uruguay,2020-03-31,6.36154
Uruguay,2020-04-01,6.656446
Uruguay,2020-04-02,6.2772813
Uruguay,2020-04-03,5.603211
Uruguay,2020-04-04,5.518952
Uruguay,2020-04-05,4.718493
Uruguay,2020-04-06,4.086552
Uruguay,2020-04-07,4.086552
Uruguay,2020-04-08,4.0022936
Uruguay,2020-04-09,3.6231287
Uruguay,2020-04-10,4.465717
Uruguay,2020-04-11,4.381458
Uruguay,2020-04-12,4.5499754
Uruguay,2020-04-13,4.2550697
Uruguay,2020-04-14,4.465717
Uruguay,2020-04-15,4.7676444
Uruguay,2020-04-16,4.7676444
Uruguay,2020-04-17,3.2439642
Uruguay,2020-04-18,2.8507564
Uruguay,2020-04-19,2.1134918
Uruguay,2020-04-20,2.2117937
Uruguay,2020-04-21,2.2117937
Uruguay,2020-04-22,2.190729
Uruguay,2020-04-23,2.1485996
Uruguay,2020-04-24,2.3592465
Uruguay,2020-04-25,2.3171172
Uruguay,2020-04-26,2.3171172
Uruguay,2020-04-27,3.328223
Uruguay,2020-04-28,3.2860935
Uruguay,2020-04-29,3.5809994
Uruguay,2020-04-30,3.454611
Uruguay,2020-05-01,3.4124818
Uruguay,2020-05-02,3.6231287
Uruguay,2020-05-03,3.5809994
Uruguay,2020-05-04,2.3592465
Uruguay,2020-05-05,2.0643408
Uruguay,2020-05-06,1.558788
Uruguay,2020-05-07,1.8958231
Uruguay,2020-05-08,1.8115643
Uruguay,2020-05-09,1.7273055
Uruguay,2020-05-10,1.9379525
Uruguay,2020-05-11,2.10647
Uruguay,2020-05-12,2.190729
Uruguay,2020-05-13,2.2749877
Uruguay,2020-05-14,1.980082
