Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
World excl. China and South Korea,2020-01-09,7.678255e-05
World excl. China and South Korea,2020-01-10,6.581361e-05
World excl. China and South Korea,2020-01-11,2.193787e-05
World excl. China and South Korea,2020-01-12,2.193787e-05
World excl. China and South Korea,2020-01-13,4.387574e-05
World excl. China and South Korea,2020-01-14,0.0001535651
World excl. China and South Korea,2020-01-15,0.00013162722
World excl. China and South Korea,2020-01-16,0.00013162722
World excl. China and South Korea,2020-01-17,0.00013162722
World excl. China and South Korea,2020-01-18,0.00021937871
World excl. China and South Korea,2020-01-19,0.00026325445
World excl. China and South Korea,2020-01-20,0.00026325445
World excl. China and South Korea,2020-01-21,0.0001535651
World excl. China and South Korea,2020-01-22,0.00017550297
World excl. China and South Korea,2020-01-23,0.00019744084
World excl. China and South Korea,2020-01-24,0.00039488167
World excl. China and South Korea,2020-01-25,0.0005484468
World excl. China and South Korea,2020-01-26,0.000855577
World excl. China and South Korea,2020-01-27,0.0011188315
World excl. China and South Korea,2020-01-28,0.0012723965
World excl. China and South Korea,2020-01-29,0.001535651
World excl. China and South Korea,2020-01-30,0.0018647191
World excl. China and South Korea,2020-01-31,0.0021718494
World excl. China and South Korea,2020-02-01,0.0021718494
World excl. China and South Korea,2020-02-02,0.0024351038
World excl. China and South Korea,2020-02-03,0.0023473522
World excl. China and South Korea,2020-02-04,0.0026106066
World excl. China and South Korea,2020-02-05,0.0031809914
World excl. China and South Korea,2020-02-06,0.0031809914
World excl. China and South Korea,2020-02-07,0.0028519232
World excl. China and South Korea,2020-02-08,0.0028299855
World excl. China and South Korea,2020-02-09,0.0031590534
World excl. China and South Korea,2020-02-10,0.0031371156
World excl. China and South Korea,2020-02-11,0.0029177368
World excl. China and South Korea,2020-02-12,0.0023254144
World excl. China and South Korea,2020-02-13,0.0023254144
World excl. China and South Korea,2020-02-14,0.002544793
World excl. China and South Korea,2020-02-15,0.002742234
World excl. China and South Korea,2020-02-16,0.002544793
World excl. China and South Korea,2020-02-17,0.0026106066
World excl. China and South Korea,2020-02-18,0.0026983581
World excl. China and South Korea,2020-02-19,0.0027641717
World excl. China and South Korea,2020-02-20,0.0026544824
World excl. China and South Korea,2020-02-21,0.0028519232
World excl. China and South Korea,2020-02-22,0.0035978109
World excl. China and South Korea,2020-02-23,0.005725784
World excl. China and South Korea,2020-02-24,0.0074369386
World excl. China and South Korea,2020-02-25,0.010420489
World excl. China and South Korea,2020-02-26,0.0140621755
World excl. China and South Korea,2020-02-27,0.018296184
World excl. China and South Korea,2020-02-28,0.027466215
World excl. China and South Korea,2020-02-29,0.036767874
World excl. China and South Korea,2020-03-01,0.05214632
World excl. China and South Korea,2020-03-02,0.07320668
World excl. China and South Korea,2020-03-03,0.09345533
World excl. China and South Korea,2020-03-04,0.124124475
World excl. China and South Korea,2020-03-05,0.15431099
World excl. China and South Korea,2020-03-06,0.18471688
World excl. China and South Korea,2020-03-07,0.232695
World excl. China and South Korea,2020-03-08,0.3447756
World excl. China and South Korea,2020-03-09,0.3871157
World excl. China and South Korea,2020-03-10,0.4449439
World excl. China and South Korea,2020-03-11,0.49048692
World excl. China and South Korea,2020-03-12,0.5846004
